Jaar,Waarneming 1 uur,Waarneming 1 dag,Waarneming 10 dagen,Trendlijn 1 uur,Trendlijn 1 dag,Trendlijn 10 dagen
1898,17.4,37.2,67.49,19.318,32.222,77.29
1899.0,32.0,31.37,84.3,19.254,32.262,77.43
1900.0,13.1,51.67,79.73,19.191,32.302,77.57
1901.0,23.4,28.6,60.7,19.128,32.342,77.71
1902.0,28.1,29.8,57.8,19.065,32.383,77.85
1903.0,21.3,41.6,94.1,19.002,32.423,77.99
1904.0,17.9,29.0,66.5,18.939,32.463,78.13
1905.0,14.6,39.8,83.0,18.877,32.503,78.27
1906.0,12.6,25.0,80.4,18.815,32.543,78.41
1907.0,11.0,19.8,46.3,18.754,32.584,78.55
1908.0,10.9,30.6,70.8,18.693,32.624,78.69
1909.0,9.3,30.1,72.4,18.633,32.664,78.83
1910.0,26.2,26.5,76.9,18.574,32.704,78.97
1911.0,9.4,40.7,70.8,18.515,32.745,79.11
1912.0,24.3,33.6,101.9,18.457,32.785,79.25
1913.0,15.2,34.1,79.5,18.399,32.825,79.39
1914.0,24.0,32.5,87.0,18.342,32.866,79.529
1915.0,16.4,26.5,70.3,18.284,32.906,79.669
1916.0,31.2,40.6,87.0,18.227,32.946,79.809
1917.0,21.3,36.8,85.5,18.17,32.986,79.949
1918.0,15.7,37.2,78.5,18.113,33.027,80.089
1919.0,14.8,33.3,85.6,18.056,33.067,80.229
1920.0,25.6,28.0,79.4,17.999,33.108,80.369
1921.0,9.0,21.5,80.9,17.942,33.148,80.509
1922.0,36.6,40.7,89.1,17.885,33.188,80.649
1923.0,35.3,39.2,107.8,17.829,33.229,80.789
1924.0,14.9,35.4,86.8,17.772,33.269,80.929
1925.0,14.8,34.0,88.9,17.717,33.31,81.069
1926.0,12.4,46.8,102.6,17.661,33.35,81.209
1927.0,11.4,21.8,79.0,17.607,33.391,81.349
1928.0,17.2,25.5,87.3,17.554,33.431,81.489
1929.0,18.2,28.5,90.0,17.502,33.472,81.629
1930.0,24.6,32.9,73.6,17.451,33.512,81.769
1931.0,19.6,26.5,63.5,17.401,33.553,81.908
1932.0,20.2,33.9,114.7,17.353,33.594,82.048
1933.0,13.1,37.9,76.7,17.306,33.634,82.188
1934.0,11.3,23.2,72.8,17.262,33.675,82.328
1935.0,13.7,33.4,70.1,17.219,33.716,82.468
1936.0,7.5,20.4,64.2,17.179,33.756,82.608
1937.0,7.5,27.1,65.7,17.14,33.797,82.748
1938.0,14.4,33.9,82.4,17.104,33.838,82.888
1939.0,12.8,27.8,101.7,17.071,33.879,83.028
1940.0,13.5,60.1,127.8,17.039,33.919,83.168
1941.0,11.8,24.1,72.4,17.01,33.96,83.308
1942.0,24.0,72.4,157.2,16.982,34.001,83.448
1943.0,33.8,50.8,69.9,16.957,34.042,83.588
1944.0,6.4,18.7,77.6,16.933,34.083,83.728
1945.0,21.5,41.3,77.0,16.911,34.124,83.868
1946.0,11.9,26.6,96.5,16.892,34.165,84.008
1947.0,19.6,27.2,65.7,16.874,34.206,84.147
1948.0,18.2,23.8,94.1,16.857,34.247,84.287
1949.0,10.4,19.8,48.2,16.843,34.288,84.427
1950.0,24.7,34.3,72.7,16.83,34.329,84.567
1951.0,13.7,28.2,85.2,16.819,34.37,84.707
1952.0,33.6,51.1,95.1,16.809,34.411,84.847
